Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Old Maid_downgraded,Permanently swap this with|the last card the enemy used,2,if(true) { if(!simulation) { for(eq in self.equipment) { eq.setvar(~alreadyheretemp~|1); } trace(~checks~); trace((self.getvar(~oldmaidtarget~) + 1) == ~Equipment1~); trace(self.getvar(~oldmaidtarget~) + 1); trace(target.equipment.indexOf(self.getvar(~oldmaidtarget~))); trace(self.getvar(~oldmaidtarget~).name); trace(self.getvar(~oldmaidtarget~).name != ~Old Maid~); if((self.getvar(~oldmaidtarget~) + 1) == ~Equipment1~ && target.equipment.indexOf(self.getvar(~oldmaidtarget~)) != -1 && self.getvar(~oldmaidtarget~).name != ~Old Maid~)  { sfx(~_curse~|~~|0.2); giveequipment(self.getvar(~oldmaidtarget~).name|true|false); giveenemyequipment(~Old Maid~|false|false); self.getvar(~oldmaidtarget~).name = ~deleteme~; removeequipment(~deleteme~|target); self.resetvar(~oldmaidtarget~);    for(eq in self.equipment) { if(eq.getvar(~alreadyheretemp~) != 1) { self.setvar(~doonthis~|eq); var estandardize = ~var e = self.getvar(\~doonthis\~); ~; var doscripts = new elements.Skill(~Against all odds_old~); doscripts.script = estandardize + eq.scriptbeforecombat; doscripts.execute(self|target); doscripts.script = estandardize + eq.scriptbeforestartturn; doscripts.execute(self|target); doscripts.script = estandardize + eq.scriptonstartturn; doscripts.execute(self|target); self.resetvar(~doonthis~); break; } }  e.name = ~deleteme~; removeequipment(~deleteme~); }  else { self.textparticle(~No effect!~); } for(eq in self.equipment) { eq.resetvar(~alreadyheretemp~); } } else { bonus(10000); } },Comedy,REQUIRE6,,GRAY,,,,none,,,,excludefromrandomlists|unfinished,,,var injectstring = ~/*NCR INJECTION*/ self.resetvar(\~oldmaidtarget\~); if(target != null) target.resetvar(\~oldmaidtarget\~); /*NCR INJECTION END*/~; if(self.scriptaftercombat.indexOf(injectstring) == -1) { self.scriptaftercombat = injectstring + self.scriptaftercombat; },,,,var injectstring = ~/*NCR INJECTION*/ if(!simulation && e.skillcard == \~\~) { target.setvar(\~oldmaidtarget\~|e); trace(target.getvar(\~oldmaidtarget\~).name); } /*NCR INJECTION END*/~; for(eq in target.equipment) { if(eq.script.indexOf(injectstring) == -1) { eq.script = injectstring + eq.script; } } for(eq in self.equipment) { if(eq.script.indexOf(injectstring) == -1) { eq.script = injectstring + eq.script; } },,,,,
Juggling Paul,Do [sword]<d6> dmg[;] get two dice|(for Paul. Who's Paul?),1,attack(d); sfxdamage(target|d); sfx(~rolldice~);,Proximity Mine,MAX3,,RED,increaserange,change_power,,,,,,,,,,,,,,,,,,
Juggling Paul_downgraded,Do [word]<d6> dmg,1,attack(d); sfxdamage(target|d);,Proximity Mine,MAX3,,RED,,,,,,,,,,,,,,,,,,,,
Snowpaul,Do [ice]<d6> damage[;] inflict [ice]2 freeze|(if Paul. Who's Paul?),1,attack(d|ICE); sfxdamage(target|d); sfx(~_ice~),Flash Freeze,ODD,,RED,add1,change_power,,,,,,,,,,,,,,,,,,
Snowpaul_downgraded,Do [sword]<d6> damage,1,attack(d); sfxdamage(target|d);,Flash Freeze,ODD,,RED,,,,,,,,,,,,,,,,,,,,
Firepaul,Do [fire]<d6> damage[;] inflict [fire]2 burn|(if Paul. Who's Paul?),1,attack(d|FIRE); sfxdamage(target|d); sfx(~_fire~);,Blowtorch,EVEN,,RED,change_power,change_power,,,,,,,,,,,,,,,,,,
Firepaul_downgraded,Do [sword]<d6> damage,1,attack(d); sfxdamage(target|d);,Blowtorch,EVEN,,RED,,,,,,,,,,,,,,,,,,,,
Gumpaul Machine,Get a new dice[;] heal <d6>|(to Paul. Who's Paul?),1,givedice(); sfx(~_heal~);,Rejuvenate,MAX3,,RED,increaserange,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Gumpaul Machine_downgraded,Get a new dice,1,givedice(); sfx(~_heal~);,Rejuvenate,MAX3,,RED,,,,,0,YES,NO,,,,,,,,,,,,,
Firepaul_upgraded,Do [fire]<d6> damage[;] inflict [fire]3 burn|(if Paul. Who's Paul?),1,attack(d|FIRE); sfxdamage(target|d); sfx(~_fire~);,Blowtorch,EVEN,,RED,,,,,,,,,,,,,,,,,,,,
Energy Paul,Do [vanish]<d6> damage[;] inflict [vanish]2 vanish|(if Paul. Who's Paul?),1,attack(d|VANISH); sfxdamage(target|d); sfx(~_vanish~);,Hadoken,EVEN,,RED,change_power,change_power,,,,,,,,,,,,,,,,,,
Energy Paul_downgraded,Do [sword]<d6> damage,1,attack(d); sfxdamage(target|d);,Hadoken,EVEN,,RED,,,,,,,,,,,,,,,,,,,,
Energy Paul_upgraded,Do [vanish]<d6> damage[;] inflict [vanish]3 vanish|(if Paul. Who's Paul?),1,attack(d|VANISH); sfxdamage(target|d); sfx(~_vanish~);,Hadoken,EVEN,,RED,,,,,,,,,,,,,,,,,,,,
Bear Paul,Do [sword]<d6> damage|(if Paul. Who's Paul?),2,donothing();,Bear Smash,NORMAL|FREE2,,RED,change_power,change_power,,,,,,,,,,,,,,,,,,
Bear Paul_upgraded,Do [sword]<d6> damage|(if Paul. Who's Paul?),2,donothing();,Bear Smash,NORMAL|FREE4,,RED,,,,,,,,,,,,,,,,,,,,
Bear Paul_downgraded,Do [sword]<d6> damage|(if Paul. Who's Paul?),2,donothing();,Bear Smash,MAX4,,RED,,,,,,,,,,,,,,,,,,,,
Paul for Back[]up,Paul|Activate all effects|addressed to Paul,2,/*todo*/ /*also todo: should cast backward if nothing that affects the enemy is queued up*/ /*using pyramid head to represent paul was a bit of an awkward choice since the rest of this pack is just... paul-themed. not petscop paul; just some random guy named 'paul'.*/,Broken Gadget[],,,RED,,change_power,,,,,,powercard,,,,,,,,,,,,
Paul for Back[]up_downgraded,Paul is Dead|No effect|[80%][gray]''F''[],2,donothing();,Broken Gadget[],,,RED,,,,,,,,powercard,,,,,,,,,,,,
Pauldron,Get a new dice[;] deal [sword]<d6>|(if Paul. Who's Paul?),1,givedice();,Proximity Mine,NORMAL,,RED,,,,,,,,,,,,,,,,,,,,
Pauldron_downgraded,Get a new dice,1,givedice();,Proximity Mine,NORMAL,,RED,,,,,,,,,,,,,,,,,,,,
Pauldron_upgraded,Get a new dice[;] deal [sword]<d6>|(if Paul. Who's Paul?)|,1,givedice();,Proximity Mine,NORMAL,,RED,,,,,,,,,,,,,,,,,,,,
Wrecking Paul,[sword]<d6>[;] reduce counts by <double>|(if Paul. Who's Paul?),1,attack(d); sfxdamage(target|d);,Turbo Boost,MAX4,,RED,simplify,change_power,,,,,,,,,,,,,,,,,,
Wrecking Paul_downgraded,Reduce counts by <double>|(if Paul. Who's Paul?),1,donothing();,Turbo Boost,MAX4,,RED,,,,,,,,,,,,,,,,,,,,
Slime Paul,Inflict [poison]3 poison|(if Paul. Who's Paul?),1,sfx(~_poison~);,Poison Arrow,EVEN,,RED,simplify,complicate,,,,,,,,,,,,,,,,,,
Paul Shield,Add [shield]<double> shield|(to Paul. Who's Paul?),1,sfx(~_shield~);,Safeguard,MAX3,,RED,add1,complicate,,,,YES,,,,,,,,,,,,,,
Lepaul Documents,Change your name to Paul[;]|remove this and Paul for|Backup from your deck,2,/*Wip. suggested by whanu*/,Identity Crisis,EVEN|EVEN|EVEN|EVEN,,RED,change_power,complicate,,,,YES,,excludefromrandomlists,,,,,,,,,,,,
Lepaul Documents_upgraded,Change your name to Paul[;]|remove this and Paul for|Backup from your deck,2,/*Wip*/,Identity Crisis,MIN2|MIN2|MIN2|MIN2,,RED,,,,,,YES,,excludefromrandomlists,,,,,,,,,,,,
Paul's Car Keys,Copy & activate a random|Paul effect[;] return the dice,1,donothing();,Vroom,DOUBLES|DOUBLES,,RED,change_power,change_power,,,,YES,,,,,,,,,,,,,,
Paul's Car Keys_upgraded,Copy & activate 2 random|Paul effects[;] return the dice,1,donothing();,Vroom,DOUBLES|DOUBLES,,RED,,,,,,YES,,,,,,,,,,,,,,
Paul's Car Keys_downgraded,Activate a random|Paul effect[;] return the dice,1,donothing(); /*yes naming it Paul's Car Keys inspired me to port More Cars*/,Vroom,DOUBLES|DOUBLES,,RED,,,,,,YES,,,,,,,,,,,,,,
